LGA_CODE,LGA_NAME_2021,IRSD_SCORE_2021,IRSD_DECILE_2021,IRSAD_SCORE_2021,IRSAD_DECILE_2021,IER_SCORE_2021,IER_DECILE_2021,IEO_SCORE_2021,IEO_DECILE_2021
21010,Benalla,968,5,938,4,973,5,942,6
21110,Boroondara,1090,10,1131,10,1054,10,1153,10
21180,Brimbank,912,2,928,4,961,4,940,5
21270,Buloke,975,5,946,5,966,4,958,7
21370,Campaspe,965,4,932,4,980,5,921,4
21450,Cardinia,1021,8,993,8,1044,10,975,8
21610,Casey,995,7,986,8,1038,9,978,8
21670,Central Goldfields,898,2,867,1,921,2,871,1
21750,Colac Otway,973,5,938,4,984,6,925,4
21830,Corangamite,985,6,955,6,998,7,948,6
21890,Darebin,1018,8,1044,9,969,4,1075,9
22110,East Gippsland,963,4,931,4,970,4,932,5
22170,Frankston,1003,7,982,8,1003,7,981,8
22250,Gannawarra,952,4,919,3,964,4,912,3
22310,Glen Eira,1075,10,1103,10,1027,9,1122,10
22410,Glenelg,952,4,919,3,970,4,911,3
22490,Golden Plains,1040,9,997,8,1076,10,965,7
22620,Greater Bendigo,985,6,959,6,984,6,964,7
22670,Greater Dandenong,887,2,918,3,943,2,943,6
22750,Greater Geelong,1007,8,990,8,997,7,993,8
22830,Greater Shepparton,944,3,931,4,965,4,941,5
22910,Hepburn,1006,8,984,8,1001,7,1008,9
22980,Hindmarsh,940,3,923,3,959,3,932,5
23110,Hobsons Bay,1021,8,1034,9,1003,7,1043,9
23190,Horsham,990,6,959,6,974,5,955,6
23270,Hume,941,3,949,5,1004,8,958,7
23350,Indigo,1029,9,996,8,1031,9,993,8
23430,Kingston (Vic.),1044,9,1048,9,1026,9,1051,9
23670,Knox,1042,9,1029,9,1041,10,1021,9
23810,Latrobe (Vic.),931,3,907,2,942,2,899,2
23940,Loddon,948,3,925,3,966,4,942,5
24130,Macedon Ranges,1063,10,1047,9,1077,10,1039,9
24210,Manningham,1056,10,1075,10,1059,10,1080,10
24250,Mansfield,1028,9,989,8,1023,9,982,8
24330,Maribyrnong,1010,8,1045,9,963,4,1076,9
24410,Maroondah,1041,9,1035,9,1030,9,1042,9
24600,Melbourne,1017,8,1086,10,838,1,1150,10
24650,Melton,985,6,974,7,1031,9,962,7
24780,Mildura,940,3,922,3,952,3,923,4
24850,Mitchell,1000,7,968,7,1030,9,945,6
24900,Moira,958,4,927,3,975,5,917,4
24970,Monash,1042,9,1067,10,1016,8,1086,10
25060,Moonee Valley,1041,9,1060,9,1006,8,1069,9
25150,Moorabool,1017,8,987,8,1037,9,969,7
25250,Moreland,1027,8,1049,9,969,4,1079,9
25340,Mornington Peninsula,1038,9,1016,9,1038,9,1011,9
25430,Mount Alexander,1007,8,987,8,993,7,1027,9
25490,Moyne,1029,9,998,8,1037,9,996,8
25620,Murrindindi,1005,7,971,7,1012,8,970,7
25710,Nillumbik,1093,10,1088,10,1111,10,1074,9
25810,Northern Grampians,951,4,921,3,959,3,916,3
25900,Port Phillip,1061,10,1106,10,954,3,1144,10
25990,Pyrenees,959,4,929,4,982,5,934,5
26080,Queenscliffe,1082,10,1067,10,1029,9,1089,10
26170,South Gippsland,1003,7,966,7,1010,8,966,7
26260,Southern Grampians,994,7,962,6,986,6,964,7
26350,Stonnington,1084,10,1130,10,992,7,1158,10
26430,Strathbogie,982,6,954,6,985,6,965,7
26490,Surf Coast,1086,10,1076,10,1076,10,1074,9
26610,Swan Hill,941,3,927,4,952,3,921,4
26670,Towong,1001,7,968,7,1007,8,970,7
26700,Wangaratta,988,6,957,6,988,6,959,7
26730,Warrnambool,995,7,961,6,982,6,957,7
26810,Wellington,973,5,943,5,985,6,937,5
26890,West Wimmera,991,6,971,7,1003,7,987,8
26980,Whitehorse,1043,9,1067,10,1011,8,1093,10
27070,Whittlesea,990,6,981,7,1018,8,980,8
27170,Wodonga,973,5,947,5,981,5,948,6
27260,Wyndham,1006,8,1004,8,1026,9,1007,9
27350,Yarra,1046,9,1108,10,942,2,1149,10
27450,Yarra Ranges,1041,9,1014,9,1054,10,1001,8
27630,Yarriambiack,946,3,923,3,958,3,945,6
29399,Unincorporated Vic,1012,8,1022,9,917,2,1008,9
30250,Aurukun,501,1,700,1,546,1,833,1
30300,Balonne,943,3,929,4,942,2,929,5
30370,Banana,992,7,954,6,998,7,909,3
30410,Barcaldine,1002,7,971,7,989,6,956,6
30450,Barcoo,988,6,959,6,1002,7,879,1
30760,Blackall Tambo,961,4,930,4,976,5,903,3
30900,Boulia,878,1,890,2,864,1,898,2
31000,Brisbane,1045,9,1061,9,1012,8,1076,9
31750,Bulloo,990,6,942,5,972,5,873,1
31820,Bundaberg,924,2,898,2,954,3,891,2
31900,Burdekin,966,5,923,3,969,4,890,2
31950,Burke,941,3,928,4,899,2,927,4
32080,Cairns,981,6,966,7,971,4,972,7
32250,Carpentaria,851,1,862,1,837,1,852,1
32260,Cassowary Coast,929,3,902,2,941,2,888,2
32270,Central Highlands (Qld),996,7,961,6,1003,8,914,3
32310,Charters Towers,933,3,908,2,945,3,894,2
32330,Cherbourg,498,1,660,1,561,1,814,1
32450,Cloncurry,965,5,939,4,936,2,903,3
32500,Cook,913,2,912,3,885,2,937,5
32600,Croydon,876,1,890,2,839,1,867,1
32750,Diamantina,952,4,942,5,884,1,898,2
32770,Doomadgee,534,1,696,1,580,1,846,1
32810,Douglas,979,6,944,5,967,4,936,5
33100,Etheridge,982,6,961,6,968,4,949,6
33200,Flinders (Qld),970,5,945,5,960,4,930,5
33220,Fraser Coast,915,2,890,2,954,3,886,2
33360,Gladstone,954,4,926,3,975,5,898,2
33430,Gold Coast,1019,8,1009,9,1015,8,1001,8
33610,Goondiwindi,965,4,938,4,976,5,921,4
33620,Gympie,930,3,896,2,972,5,889,2
33800,Hinchinbrook,954,4,911,3,953,3,884,2
33830,Hope Vale,631,1,722,1,634,1,815,1
33960,Ipswich,958,4,940,4,980,5,934,5
33980,Isaac,1012,8,971,7,993,7,905,3
34420,Kowanyama,528,1,686,1,509,1,765,1
34530,Livingstone,1005,7,970,7,1030,9,935,5
34570,Lockhart River,622,1,744,1,582,1,794,1
34580,Lockyer Valley,948,3,921,3,997,7,902,3
34590,Logan,944,3,930,4,985,6,916,3
34710,Longreach,1003,7,976,7,967,4,967,7
34770,Mackay,999,7,961,6,1007,8,917,4
34800,McKinlay,1014,8,977,7,1017,8,937,5
34830,Mapoon,567,1,700,1,569,1,795,1
34860,Maranoa,995,7,966,7,988,6,944,6
34880,Mareeba,937,3,921,3,952,3,922,4
35010,Moreton Bay,992,7,970,7,1012,8,955,6
35250,Mornington,609,1,747,1,588,1,899,2
35300,Mount Isa,972,5,954,6,938,2,927,4
35600,Murweh,948,3,930,4,943,2,930,5
35670,Napranum,623,1,738,1,619,1,818,1
35740,Noosa,1030,9,1009,9,1029,9,1003,8
35760,North Burnett,902,2,888,2,943,3,887,2
35780,Northern Peninsula Area,702,1,792,1,636,1,881,1
35790,Palm Island,567,1,707,1,570,1,851,1
35800,Paroo,866,1,884,2,857,1,921,4
36070,Pormpuraaw,547,1,706,1,512,1,759,1
36150,Quilpie,998,7,969,7,980,5,942,6
36250,Redland,1024,8,1003,8,1041,10,979,8
36300,Richmond,1009,8,975,7,1005,8,924,4
36370,Rockhampton,949,3,924,3,960,4,910,3
36510,Scenic Rim,986,6,959,6,1019,9,949,6
36580,Somerset,944,3,913,3,998,7,896,2
36630,South Burnett,907,2,885,2,945,3,888,2
36660,Southern Downs,939,3,909,3,964,4,900,2
36720,Sunshine Coast,1022,8,1001,8,1023,9,991,8
36820,Tablelands,955,4,926,3,961,4,924,4
36910,Toowoomba,979,6,959,6,983,6,959,7
36950,Torres,904,2,939,4,824,1,981,8
36960,Torres Strait Island,649,1,777,1,628,1,885,2
37010,Townsville,990,6,966,7,981,5,962,7
37300,Weipa,1058,10,1036,9,1011,8,944,6
37310,Western Downs,946,3,922,3,969,4,912,3
37340,Whitsunday,969,5,935,4,977,5,899,2
37400,Winton,993,7,959,6,972,4,932,5
37550,Woorabinda,492,1,659,1,513,1,816,1
37570,Wujal Wujal,510,1,692,1,542,1,862,1
37600,Yarrabah,512,1,678,1,569,1,788,1
40070,Adelaide,1002,7,1058,9,856,1,1137,10
40120,Adelaide Hills,1081,10,1066,10,1083,10,1070,9
40150,Adelaide Plains,988,6,943,5,1040,9,894,2
40220,Alexandrina,988,6,949,5,1007,8,941,5
