LGA_CODE,STATE,AGE_5_9_2024,AGE_10_14_2024,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_2019,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,GIRLS_SHARE_OF_5_14_PCT,GIRLS_5_14_2019,GIRLS_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT
14220,New South Wales,1108,1280,2388,13.1715388858246,2462,-74,-3.0056864337936635,1192,49.916247906197654,1197,-5,-0.4177109440267335
14300,New South Wales,347,348,695,10.765179677819082,742,-47,-6.334231805929918,351,50.50359712230216,368,-17,-4.619565217391304
14350,New South Wales,1726,1872,3598,11.3080646175121,3633,-35,-0.9633911368015413,1768,49.13841022790439,1827,-59,-3.2293377120963327
14400,New South Wales,1287,1321,2608,11.261280711602401,2663,-55,-2.0653398422831395,1215,46.58742331288344,1284,-69,-5.373831775700935
14500,New South Wales,8276,10443,18719,14.575368491540072,18898,-179,-0.9471901788549052,9095,48.586997168652175,9116,-21,-0.23036419482229045
14550,New South Wales,483,608,1091,11.325651406623066,1116,-25,-2.240143369175627,537,49.220898258478464,567,-30,-5.291005291005291
14600,New South Wales,400,480,880,14.383785550833606,938,-58,-6.183368869936034,438,49.77272727272727,449,-11,-2.4498886414253898
14650,New South Wales,13559,14269,27828,12.527009507346587,26293,1535,5.838055756284943,13551,48.69555843035791,12776,775,6.066061365059486
14700,New South Wales,2379,2384,4763,11.182326149222895,4739,24,0.5064359569529436,2295,48.18391769892925,2272,23,1.012323943661972
14750,New South Wales,780,968,1748,15.197356981394542,1718,30,1.7462165308498252,861,49.25629290617849,868,-7,-0.8064516129032258
14850,New South Wales,2310,2874,5184,11.849142857142857,5601,-417,-7.445099089448312,2522,48.6496913580247,2682,-160,-5.965697240865026
14870,New South Wales,1054,1214,2268,10.910665319670947,2495,-227,-9.098196392785571,1132,49.91181657848324,1219,-87,-7.136997538966367
14900,New South Wales,18228,18747,36975,14.479161363841058,33875,3100,9.15129151291513,17757,48.02434077079107,16423,1334,8.122754673323996
14920,New South Wales,422,499,921,11.993749186091938,1003,-82,-8.175473579262214,417,45.27687296416938,481,-64,-13.305613305613306
14950,New South Wales,256,243,499,14.30619266055046,458,41,8.951965065502183,243,48.69739478957916,247,-4,-1.6194331983805668
15050,New South Wales,6935,7011,13946,14.197003013274697,12465,1481,11.881267549137585,6835,49.01046895167073,6059,776,12.80739395939924
15240,New South Wales,4679,5415,10094,10.221772151898733,10294,-200,-1.9428793471925394,4950,49.03903308896374,4996,-46,-0.9207365892714172
15270,New South Wales,1767,1871,3638,13.832173681609063,3473,165,4.750935790382954,1715,47.1412864211105,1707,8,0.46865846514352666
