LGA_CODE,LGA_NAME,STATE,TOTAL_POP_2020,TOTAL_POP_2024,TOTAL_POP_2025,POP_CHANGE_1Y,POP_GROWTH_1Y_PCT,POP_CHANGE_5Y,POP_GROWTH_5Y_PCT,IS_UNINCORPORATED
33200,Flinders (Qld),Queensland,1509,1539,1545,6,0.3898635477582846,36,2.3856858846918487,0
33220,Fraser Coast,Queensland,109938,120351,122924,2573,2.1379132703508903,12986,11.812112281467737,0
33360,Gladstone,Queensland,63890,67949,69046,1097,1.6144461287141827,5156,8.070120519643137,0
33430,Gold Coast,Queensland,626342,679286,691230,11944,1.7583168208972364,64888,10.359835361511761,0
33610,Goondiwindi,Queensland,10516,10457,10438,-19,-0.18169647126326863,-78,-0.7417268923545074,0
33620,Gympie,Queensland,53021,57317,58487,1170,2.0412792016330235,5466,10.309122800399843,0
33800,Hinchinbrook,Queensland,10911,11130,11194,64,0.5750224618149147,283,2.5937127669324536,0
33830,Hope Vale,Queensland,1007,1057,1073,16,1.5137180700094608,66,6.554121151936444,0
33960,Ipswich,Queensland,226778,259134,268272,9138,3.526360878927505,41494,18.29718932171551,0
33980,Isaac,Queensland,22141,23159,23186,27,0.11658534479036227,1045,4.719750688767445,0
34420,Kowanyama,Queensland,1076,1147,1155,8,0.6974716652136007,79,7.342007434944238,0
34530,Livingstone,Queensland,39206,42774,43668,894,2.0900547061298917,4462,11.380911085038004,0
34570,Lockhart River,Queensland,673,686,702,16,2.3323615160349855,29,4.3090638930163445,0
34580,Lockyer Valley,Queensland,41366,44983,46058,1075,2.3897916990863215,4692,11.342648551950878,0
34590,Logan,Queensland,343821,391566,403515,11949,3.0515928349243806,59694,17.36194124268151,0
34710,Longreach,Queensland,3651,3745,3741,-4,-0.1068090787716956,90,2.4650780608052587,0
34770,Mackay,Queensland,121395,128139,129253,1114,0.8693684202311553,7858,6.4730837349149475,0
34800,McKinlay,Queensland,828,849,850,1,0.11778563015312131,22,2.657004830917874,0
34830,Mapoon,Queensland,418,486,494,8,1.646090534979424,76,18.181818181818183,0
34860,Maranoa,Queensland,12891,13336,13370,34,0.2549490101979604,479,3.715770692731363,0
34880,Mareeba,Queensland,23010,23940,24205,265,1.1069340016708438,1195,5.1933941764450235,0
35010,Moreton Bay,Queensland,476622,521494,532445,10951,2.099928282971616,55823,11.712216389507828,0
35250,Mornington,Queensland,1093,1087,1099,12,1.1039558417663293,6,0.5489478499542544,0
35300,Mount Isa,Queensland,19315,18725,18585,-140,-0.7476635514018692,-730,-3.779446026404349,0
35600,Murweh,Queensland,4106,3988,4004,16,0.4012036108324975,-102,-2.484169508037019,0
35670,Napranum,Queensland,923,941,952,11,1.1689691817215728,29,3.14192849404117,0
35740,Noosa,Queensland,56662,59015,59551,536,0.9082436668643565,2889,5.0986551833680425,0
35760,North Burnett,Queensland,10206,10449,10562,113,1.0814432003062493,356,3.4881442288849698,0
35780,Northern Peninsula Area,Queensland,2891,2925,2944,19,0.6495726495726496,53,1.8332756831546178,0
35790,Palm Island,Queensland,2205,2282,2335,53,2.322524101665206,130,5.895691609977324,0
35800,Paroo,Queensland,1683,1722,1724,2,0.11614401858304298,41,2.43612596553773,0
36070,Pormpuraaw,Queensland,672,645,650,5,0.7751937984496124,-22,-3.273809523809524,0
36150,Quilpie,Queensland,721,714,720,6,0.8403361344537815,-1,-0.13869625520110956,0
36250,Redland,Queensland,160418,169940,172831,2891,1.701188654819348,12413,7.737909710880325,0
36300,Richmond,Queensland,769,785,788,3,0.3821656050955414,19,2.4707412223667102,0
36370,Rockhampton,Queensland,82352,85170,85794,624,0.7326523423740754,3442,4.17961919564795,0
36510,Scenic Rim,Queensland,43255,45944,46947,1003,2.1830924603865576,3692,8.535429430123685,0
36580,Somerset,Queensland,25322,26516,26936,420,1.583949313621964,1614,6.373904114998815,0
36630,South Burnett,Queensland,32952,34683,35111,428,1.2340339647666003,2159,6.551954357853848,0
36660,Southern Downs,Queensland,36393,37736,38064,328,0.8691965232139072,1671,4.591542329568873,0
36720,Sunshine Coast,Queensland,338389,374298,381957,7659,2.046230543577577,43568,12.87512300931768,0
36820,Tablelands,Queensland,26309,27575,27902,327,1.1858567543064369,1593,6.054962180242502,0
36910,Toowoomba,Queensland,173562,184075,186276,2201,1.1957082710851556,12714,7.325336191101739,0
